,0
0,0.0
1,2.9061657211940844e-11
2,5.812331442388169e-11
3,8.718497163582253e-11
4,1.1624662884776338e-10
5,1.4530828605970424e-10
6,1.743699432716451e-10
7,2.0343160048358595e-10
8,2.324932576955268e-10
9,2.6155491490746766e-10
10,2.906165721194085e-10
11,3.196782293313494e-10
12,3.4873988654329024e-10
13,3.778015437552311e-10
14,4.0686320096717195e-10
15,4.359248581791128e-10
16,4.6498651539105367e-10
17,4.940481726029945e-10
18,5.231098298149353e-10
19,5.521714870268762e-10
20,5.81233144238817e-10
21,6.102948014507579e-10
22,6.393564586626988e-10
23,6.684181158746396e-10
24,6.974797730865805e-10
25,7.265414302985213e-10
26,7.556030875104622e-10
27,7.84664744722403e-10
28,8.137264019343439e-10
29,8.427880591462848e-10
30,8.718497163582256e-10
31,9.009113735701665e-10
32,9.299730307821073e-10
33,9.59034687994048e-10
34,9.88096345205989e-10
35,1.0171580024179298e-09
36,1.0462196596298707e-09
37,1.0752813168418115e-09
38,1.1043429740537524e-09
39,1.1334046312656932e-09
40,1.162466288477634e-09
41,1.191527945689575e-09
42,1.2205896029015158e-09
43,1.2496512601134567e-09
44,1.2787129173253975e-09
45,1.3077745745373384e-09
46,1.3368362317492792e-09
47,1.36589788896122e-09
48,1.394959546173161e-09
49,1.4240212033851018e-09
50,1.4530828605970427e-09
51,1.4821445178089835e-09
52,1.5112061750209244e-09
53,1.5402678322328652e-09
54,1.569329489444806e-09
55,1.598391146656747e-09
56,1.6274528038686878e-09
57,1.6565144610806287e-09
58,1.6855761182925695e-09
59,1.7146377755045104e-09
60,1.7436994327164512e-09
61,1.772761089928392e-09
62,1.801822747140333e-09
63,1.8308844043522738e-09
64,1.8599460615642147e-09
65,1.8890077187761553e-09
66,1.918069375988096e-09
67,1.947131033200037e-09
68,1.976192690411978e-09
69,2.0052543476239187e-09
70,2.0343160048358596e-09
71,2.0633776620478005e-09
72,2.0924393192597413e-09
73,2.121500976471682e-09
74,2.150562633683623e-09
75,2.179624290895564e-09
76,2.2086859481075047e-09
77,2.2377476053194456e-09
78,2.2668092625313865e-09
79,2.2958709197433273e-09
80,2.324932576955268e-09
81,2.353994234167209e-09
82,2.38305589137915e-09
83,2.4121175485910908e-09
84,2.4411792058030316e-09
85,2.4702408630149725e-09
86,2.4993025202269133e-09
87,2.528364177438854e-09
88,2.557425834650795e-09
89,2.586487491862736e-09
90,2.6155491490746768e-09
91,2.6446108062866176e-09
92,2.6736724634985585e-09
93,2.7027341207104993e-09
94,2.73179577792244e-09
95,2.760857435134381e-09
96,2.789919092346322e-09
97,2.8189807495582628e-09
98,2.8480424067702036e-09
99,2.8771040639821445e-09
100,2.9061657211940853e-09
101,2.935227378406026e-09
102,2.964289035617967e-09
103,2.993350692829908e-09
104,3.0224123500418488e-09
105,3.0514740072537896e-09
106,3.0805356644657305e-09
107,3.1095973216776713e-09
108,3.138658978889612e-09
109,3.167720636101553e-09
110,3.196782293313494e-09
111,3.2258439505254348e-09
112,3.2549056077373756e-09
113,3.2839672649493165e-09
114,3.3130289221612573e-09
115,3.342090579373198e-09
116,3.371152236585139e-09
117,3.40021389379708e-09
118,3.4292755510090208e-09
119,3.4583372082209616e-09
120,3.4873988654329025e-09
121,3.5164605226448433e-09
122,3.545522179856784e-09
123,3.574583837068725e-09
124,3.603645494280666e-09
125,3.6327071514926068e-09
126,3.6617688087045476e-09
127,3.6908304659164885e-09
128,3.7198921231284293e-09
129,3.74895378034037e-09
130,3.778015437552311e-09
131,3.8070770947642515e-09
132,3.836138751976192e-09
133,3.865200409188133e-09
134,3.894262066400074e-09
135,3.923323723612015e-09
136,3.952385380823956e-09
137,3.981447038035897e-09
138,4.0105086952478375e-09
139,4.039570352459778e-09
140,4.068632009671719e-09
141,4.09769366688366e-09
142,4.126755324095601e-09
143,4.155816981307542e-09
144,4.184878638519483e-09
145,4.2139402957314235e-09
146,4.243001952943364e-09
147,4.272063610155305e-09
148,4.301125267367246e-09
149,4.330186924579187e-09
150,4.359248581791128e-09
151,4.388310239003069e-09
152,4.4173718962150095e-09
153,4.44643355342695e-09
154,4.475495210638891e-09
155,4.504556867850832e-09
156,4.533618525062773e-09
157,4.562680182274714e-09
158,4.591741839486655e-09
159,4.6208034966985955e-09
