0.000,0.000,1.000,0.000,0.000,0.000
0.000,0.004,0.996,0.000,0.000,0.000
0.000,0.015,0.985,0.000,0.000,0.000
0.001,0.032,0.967,0.000,0.000,0.000
0.002,0.055,0.943,0.000,0.001,0.000
0.004,0.082,0.912,0.000,0.002,0.000
0.008,0.111,0.877,0.001,0.004,0.000
0.013,0.142,0.837,0.001,0.007,0.000
0.021,0.172,0.793,0.003,0.011,0.000
0.031,0.200,0.747,0.005,0.016,0.000
0.044,0.225,0.699,0.009,0.022,0.000
0.058,0.245,0.651,0.016,0.029,0.000
0.074,0.260,0.602,0.024,0.037,0.001
0.091,0.269,0.555,0.037,0.046,0.002
0.108,0.273,0.509,0.052,0.054,0.003
0.124,0.271,0.464,0.073,0.062,0.005
0.138,0.264,0.422,0.097,0.069,0.008
0.149,0.254,0.383,0.126,0.075,0.011
0.157,0.240,0.347,0.158,0.079,0.017
0.161,0.224,0.313,0.194,0.081,0.024
0.161,0.206,0.282,0.232,0.081,0.034
0.157,0.188,0.254,0.272,0.079,0.046
0.149,0.170,0.229,0.312,0.075,0.061
0.138,0.154,0.206,0.349,0.070,0.080
0.124,0.138,0.186,0.384,0.063,0.102
0.108,0.125,0.167,0.413,0.055,0.128
0.091,0.113,0.150,0.436,0.046,0.158
0.074,0.104,0.135,0.452,0.038,0.191
0.058,0.097,0.121,0.459,0.030,0.229
0.044,0.091,0.109,0.457,0.023,0.270
0.031,0.088,0.097,0.447,0.016,0.314
0.021,0.086,0.086,0.428,0.011,0.361
0.013,0.086,0.076,0.401,0.007,0.410
0.008,0.088,0.067,0.367,0.004,0.460
0.004,0.091,0.057,0.329,0.002,0.510
0.002,0.096,0.049,0.287,0.001,0.559
0.001,0.101,0.041,0.243,0.000,0.607
0.000,0.107,0.033,0.200,0.000,0.652
0.000,0.113,0.026,0.159,0.000,0.694
0.000,0.119,0.020,0.120,0.000,0.733
0.000,0.125,0.014,0.087,0.000,0.766
0.000,0.129,0.010,0.058,0.000,0.795
0.001,0.131,0.006,0.036,0.000,0.819
0.002,0.131,0.003,0.019,0.001,0.837
0.004,0.128,0.001,0.008,0.002,0.850
0.007,0.122,0.000,0.002,0.004,0.857
0.013,0.113,0.000,0.000,0.007,0.859
0.021,0.101,0.001,0.002,0.011,0.857
0.031,0.087,0.002,0.006,0.016,0.850
0.043,0.071,0.004,0.012,0.022,0.840
0.057,0.054,0.007,0.018,0.029,0.826
0.073,0.038,0.009,0.024,0.037,0.810
0.089,0.023,0.011,0.030,0.046,0.792
0.106,0.011,0.013,0.035,0.054,0.773
0.122,0.003,0.014,0.039,0.062,0.752
0.135,0.000,0.014,0.041,0.069,0.731
0.147,0.003,0.014,0.042,0.075,0.710
0.155,0.013,0.012,0.042,0.079,0.689
0.159,0.029,0.011,0.042,0.081,0.669
0.159,0.052,0.008,0.041,0.081,0.649
0.155,0.081,0.006,0.040,0.080,0.629
0.147,0.115,0.003,0.039,0.076,0.610
0.136,0.153,0.001,0.038,0.070,0.592
0.122,0.193,0.000,0.038,0.063,0.574
0.107,0.233,0.000,0.039,0.055,0.556
0.090,0.271,0.002,0.040,0.047,0.538
0.074,0.307,0.007,0.043,0.039,0.520
0.058,0.338,0.014,0.047,0.031,0.502
0.044,0.363,0.023,0.053,0.023,0.482
0.031,0.380,0.036,0.061,0.017,0.463
0.021,0.391,0.052,0.071,0.012,0.441
0.013,0.393,0.071,0.084,0.008,0.419
0.008,0.388,0.092,0.099,0.005,0.396
0.004,0.376,0.117,0.118,0.003,0.371
0.002,0.358,0.143,0.139,0.001,0.345
0.001,0.334,0.172,0.162,0.001,0.318
0.000,0.307,0.201,0.188,0.000,0.290
0.000,0.278,0.232,0.215,0.000,0.261
0.000,0.247,0.263,0.244,0.000,0.232
0.000,0.217,0.294,0.272,0.000,0.203
0.000,0.187,0.324,0.299,0.000,0.175
0.000,0.160,0.354,0.324,0.000,0.148
0.002,0.135,0.382,0.344,0.001,0.122
0.004,0.112,0.409,0.360,0.002,0.098
0.007,0.093,0.434,0.370,0.004,0.077
0.013,0.077,0.458,0.373,0.007,0.057
0.020,0.064,0.480,0.369,0.011,0.041
0.030,0.053,0.500,0.358,0.016,0.028
