x,vals
"[[0, [0, 0]], [0, [0, 0]]]",0
"[[0, [0, 0]], [0, [0, 1]]]",1
"[[0, [0, 0]], [0, [1, 0]]]",2
"[[0, [0, 0]], [0, [1, 1]]]",3
"[[0, [0, 1]], [0, [0, 0]]]",4
"[[0, [0, 1]], [0, [0, 1]]]",5
"[[0, [0, 1]], [0, [1, 0]]]",6
"[[0, [1, 0]], [0, [0, 0]]]",7
"[[0, [1, 0]], [0, [0, 1]]]",8
"[[0, [1, 0]], [0, [1, 0]]]",9
"[[0, [1, 1]], [0, [0, 0]]]",10
"[[0, [0, 0]], [1, [0, 0]]]",11
"[[0, [0, 0]], [1, [0, 1]]]",12
"[[0, [0, 0]], [1, [1, 0]]]",13
"[[0, [0, 1]], [1, [0, 0]]]",14
"[[0, [1, 0]], [1, [0, 0]]]",15
"[[0, [0, 0]], [2, [0, 0]]]",16
"[[1, [0, 0]], [0, [0, 0]]]",17
"[[1, [0, 0]], [0, [0, 1]]]",18
"[[1, [0, 0]], [0, [1, 0]]]",19
"[[1, [0, 1]], [0, [0, 0]]]",20
"[[1, [1, 0]], [0, [0, 0]]]",21
"[[1, [0, 0]], [1, [0, 0]]]",22
"[[2, [0, 0]], [0, [0, 0]]]",23
